ID,Lat,Lon,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
SHAKAWE,-18.367,21.85,1981,53.0,82.1,39.8,8.1,0.0,0.0,0.0,0.0,0.0,5.7,67.5,29.1
SHAKAWE,-18.367,21.85,1982,81.5,75.5,46.0,35.2,0.0,0.0,0.0,0.0,0.0,16.2,76.7,70.8
SHAKAWE,-18.367,21.85,1983,135.9,66.2,53.2,14.2,0.0,0.0,0.0,0.0,0.0,17.0,54.2,158.8
SHAKAWE,-18.367,21.85,1984,48.3,91.1,110.0,17.1,0.0,0.0,0.0,0.0,0.0,31.3,39.9,51.8
SHAKAWE,-18.367,21.85,1985,154.2,136.9,42.6,12.2,0.0,0.0,0.0,0.0,0.0,18.5,24.0,127.0
SHAKAWE,-18.367,21.85,1986,120.5,74.7,58.3,20.2,0.0,0.0,0.0,0.0,5.6,54.0,70.1,63.9
SHAKAWE,-18.367,21.85,1987,69.1,101.1,52.6,8.8,0.0,0.0,0.0,0.0,5.0,16.2,29.0,94.1
SHAKAWE,-18.367,21.85,1988,66.3,130.7,56.7,45.4,0.0,0.0,0.0,0.0,0.0,12.9,44.9,109.5
SHAKAWE,-18.367,21.85,1989,337.8,240.8,76.8,42.2,0.0,0.0,0.0,0.0,0.0,8.9,39.8,41.4
SHAKAWE,-18.367,21.85,1990,170.5,89.6,85.3,50.8,0.0,0.0,0.0,0.0,0.0,7.4,39.5,84.5
SHAKAWE,-18.367,21.85,1991,130.4,144.5,76.8,5.7,0.0,0.0,0.0,0.0,0.0,23.7,60.0,143.4
SHAKAWE,-18.367,21.85,1992,75.2,35.2,77.8,6.7,0.0,0.0,0.0,0.0,1.3,8.6,48.7,74.9
SHAKAWE,-18.367,21.85,1993,174.5,183.3,38.0,32.5,0.0,0.0,0.0,0.0,0.0,11.1,38.6,81.3
SHAKAWE,-18.367,21.85,1994,246.7,77.0,27.1,13.6,0.0,0.0,0.0,0.0,0.0,5.5,25.4,58.2
SHAKAWE,-18.367,21.85,1995,49.4,124.0,44.0,10.9,0.0,0.0,0.0,0.0,0.0,10.0,20.5,71.1
SHAKAWE,-18.367,21.85,1996,140.8,102.4,44.4,6.3,0.0,0.0,0.0,0.0,0.0,8.2,63.4,77.8
SHAKAWE,-18.367,21.85,1997,208.0,102.2,120.8,5.6,0.0,0.0,0.0,0.0,0.0,30.3,26.2,67.0
SHAKAWE,-18.367,21.85,1998,162.9,31.8,42.8,7.3,0.0,0.0,0.0,0.0,0.0,12.9,59.7,109.0
SHAKAWE,-18.367,21.85,1999,128.6,80.1,81.3,5.5,0.0,0.0,0.0,0.0,4.1,7.2,39.9,86.8
SHAKAWE,-18.367,21.85,2000,273.5,163.2,120.8,11.3,0.0,0.0,0.0,0.0,1.9,7.5,15.2,83.2
SHAKAWE,-18.367,21.85,2001,31.2,179.8,64.4,63.6,0.0,0.0,0.0,0.0,0.0,12.9,124.3,85.1
SHAKAWE,-18.367,21.85,2002,74.4,53.8,42.1,13.6,0.0,0.0,0.0,0.0,0.0,16.2,65.9,61.6
SHAKAWE,-18.367,21.85,2003,109.8,71.4,21.6,19.9,0.0,0.0,0.0,0.0,0.0,12.0,44.8,86.9
SHAKAWE,-18.367,21.85,2004,189.7,111.9,149.4,67.3,0.0,0.0,0.0,0.0,0.0,9.1,35.1,76.7
SHAKAWE,-18.367,21.85,2005,72.3,58.5,81.7,15.9,0.0,0.0,0.0,0.0,0.0,0.0,86.8,88.5
SHAKAWE,-18.367,21.85,2006,210.3,184.4,115.0,10.7,0.0,0.0,0.0,0.0,0.0,12.5,89.1,106.7
SHAKAWE,-18.367,21.85,2007,84.9,67.5,126.5,11.0,0.0,0.0,0.0,0.0,0.0,10.3,78.2,112.6
SHAKAWE,-18.367,21.85,2008,347.1,92.4,66.7,7.5,0.0,0.0,0.0,0.0,0.0,0.0,161.5,104.1
SHAKAWE,-18.367,21.85,2009,157.5,101.2,159.9,7.5,0.0,0.0,0.0,0.0,7.9,14.8,63.7,99.3
SHAKAWE,-18.367,21.85,2010,141.6,120.5,85.6,70.9,0.0,0.0,0.0,0.0,0.0,5.2,58.4,121.6
SHAKAWE,-18.367,21.85,2011,251.3,92.9,180.8,31.7,0.0,0.0,0.0,0.0,0.0,8.8,94.6,182.9
SHAKAWE,-18.367,21.85,2012,144.0,101.3,52.1,6.0,0.0,0.0,0.0,0.0,2.6,18.3,62.5,108.4
SHAKAWE,-18.367,21.85,2013,118.3,32.7,21.7,8.0,0.0,0.0,0.0,0.0,0.0,7.2,23.3,162.6
SHAKAWE,-18.367,21.85,2014,166.9,121.9,166.1,25.3,0.0,0.0,0.0,0.0,0.0,6.9,65.3,95.8
SHAKAWE,-18.367,21.85,2015,78.0,34.6,41.4,63.3,0.0,0.0,0.0,0.0,0.0,0.0,34.7,52.0
SHAKAWE,-18.367,21.85,2016,196.3,38.1,142.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1,114.6
SHAKAWE,-18.367,21.85,2017,306.2,252.5,88.9,33.3,0.0,0.0,0.0,0.0,0.0,11.0,34.1,82.8
SHAKAWE,-18.367,21.85,2018,42.2,126.1,164.6,17.6,0.0,0.0,0.0,0.0,0.0,6.2,9.4,55.6
SHAKAWE,-18.367,21.85,2019,35.0,78.9,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,51.4
SHAKAWE,-18.367,21.85,2020,107.5,126.4,98.2,36.9,0.0,0.0,0.0,0.0,1.4,4.4,79.6,74.1
SHAKAWE,-18.367,21.85,2021,398.7,121.9,79.1,5.1,0.0,0.0,0.0,0.0,0.0,11.6,13.8,113.4
SHAKAWE,-18.367,21.85,2022,217.7,94.8,214.7,7.6,0.0,0.0,0.0,0.0,2.2,8.2,31.2,51.6
SHAKAWE,-18.367,21.85,2023,33.4,33.3,48.5,6.2,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999
MAUN,-19.983,23.416999999999998,1981,35.3,107.5,59.3,5.7,0.0,0.0,0.0,0.0,0.0,9.1,40.1,28.5
MAUN,-19.983,23.416999999999998,1982,28.1,66.8,14.8,14.9,0.0,0.0,0.0,0.0,0.0,49.2,63.8,60.6
MAUN,-19.983,23.416999999999998,1983,60.3,37.4,32.4,21.9,0.0,0.0,0.0,0.0,0.0,13.3,56.8,127.2
MAUN,-19.983,23.416999999999998,1984,24.3,60.4,98.2,9.5,0.0,0.0,0.0,0.0,0.0,16.6,53.0,23.1
MAUN,-19.983,23.416999999999998,1985,85.6,55.8,41.1,4.6,0.0,0.0,0.0,0.0,0.0,22.1,6.9,94.9
MAUN,-19.983,23.416999999999998,1986,53.4,68.3,39.7,34.0,0.0,0.0,0.0,0.0,8.3,43.7,60.9,50.7
MAUN,-19.983,23.416999999999998,1987,29.5,54.7,28.5,0.0,0.0,0.0,0.0,0.0,2.9,11.4,20.2,127.9
MAUN,-19.983,23.416999999999998,1988,36.4,143.9,97.0,30.6,0.0,0.0,0.0,0.0,0.0,19.7,23.1,62.7
MAUN,-19.983,23.416999999999998,1989,193.7,153.9,29.0,52.0,0.0,0.0,0.0,0.0,0.0,15.5,19.3,28.6
MAUN,-19.983,23.416999999999998,1990,86.2,66.5,38.1,13.9,0.0,0.0,0.0,0.0,0.0,5.5,10.2,47.9
MAUN,-19.983,23.416999999999998,1991,130.8,134.5,55.1,0.0,0.0,0.0,0.0,0.0,0.0,11.5,32.0,96.7
MAUN,-19.983,23.416999999999998,1992,28.1,12.2,54.6,4.4,0.0,0.0,0.0,0.0,2.0,12.0,50.2,53.5
MAUN,-19.983,23.416999999999998,1993,59.1,115.0,18.6,17.7,0.0,0.0,0.0,0.0,4.6,11.8,24.5,55.8
MAUN,-19.983,23.416999999999998,1994,156.8,50.9,17.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,32.9
MAUN,-19.983,23.416999999999998,1995,29.9,47.4,36.6,7.1,0.0,0.0,0.0,0.0,0.0,10.0,26.5,63.6
MAUN,-19.983,23.416999999999998,1996,125.7,165.5,24.7,0.0,0.0,0.0,0.0,0.0,0.0,7.5,61.8,57.0
MAUN,-19.983,23.416999999999998,1997,153.0,43.0,106.9,5.6,1.4,0.0,0.0,0.0,3.9,23.0,15.9,71.3
MAUN,-19.983,23.416999999999998,1998,98.9,26.6,42.9,9.6,0.0,0.0,0.0,0.0,0.0,8.1,58.4,88.5
MAUN,-19.983,23.416999999999998,1999,83.0,62.2,57.0,0.0,0.0,0.0,0.0,0.0,4.4,10.6,34.9,69.5
MAUN,-19.983,23.416999999999998,2000,214.5,160.4,95.4,13.1,0.0,0.0,0.0,0.0,0.0,6.7,27.4,61.1
MAUN,-19.983,23.416999999999998,2001,16.0,100.0,60.9,43.3,0.0,0.0,0.0,0.0,0.0,17.3,127.1,59.8
MAUN,-19.983,23.416999999999998,2002,50.7,43.3,24.5,9.6,0.0,0.0,0.0,0.0,4.0,15.6,56.0,79.0
MAUN,-19.983,23.416999999999998,2003,62.3,56.3,18.2,11.1,0.0,0.0,0.0,0.0,0.0,17.8,51.2,62.1
MAUN,-19.983,23.416999999999998,2004,89.5,105.9,90.1,26.0,0.0,0.0,0.0,0.0,0.0,7.6,26.9,59.8
MAUN,-19.983,23.416999999999998,2005,72.5,38.5,46.2,26.3,0.0,0.0,0.0,0.0,0.0,5.1,101.5,73.6
MAUN,-19.983,23.416999999999998,2006,145.2,185.9,58.7,8.4,0.0,0.0,0.0,0.0,0.0,25.0,56.8,99.7
MAUN,-19.983,23.416999999999998,2007,47.9,45.3,84.6,6.3,0.0,0.0,0.0,0.0,0.0,14.2,59.5,97.3
MAUN,-19.983,23.416999999999998,2008,266.3,56.5,39.1,6.6,0.0,0.0,0.0,0.0,0.0,5.0,106.6,62.6
MAUN,-19.983,23.416999999999998,2009,157.4,137.9,133.4,0.0,7.1,0.0,0.0,0.0,4.2,28.7,52.2,89.4
MAUN,-19.983,23.416999999999998,2010,161.8,143.7,69.1,72.3,0.0,0.0,0.0,0.0,0.0,6.0,80.9,85.2
MAUN,-19.983,23.416999999999998,2011,167.3,61.9,99.0,22.9,0.0,0.0,0.0,0.0,0.0,5.7,52.5,113.6
MAUN,-19.983,23.416999999999998,2012,51.3,96.4,34.8,0.0,0.0,0.0,0.0,0.0,3.0,20.7,48.4,86.5
MAUN,-19.983,23.416999999999998,2013,84.8,35.2,13.7,5.2,0.0,0.0,0.0,0.0,0.0,9.1,24.8,100.8
MAUN,-19.983,23.416999999999998,2014,85.3,85.6,122.9,12.7,0.0,0.0,0.0,0.0,0.0,7.0,57.7,101.7
