ID,Lat,Lon,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ANTSIRANANA,-12.35,49.3,1981,132.9,399.6,197.3,64.9,15.9,14.4,7.1,16.9,0.0,22.1,22.1,288.2
ANTSIRANANA,-12.35,49.3,1982,174.2,341.2,203.8,30.2,16.0,30.9,14.8,14.2,4.4,17.7,47.0,422.3
ANTSIRANANA,-12.35,49.3,1983,266.4,332.5,120.8,49.5,11.7,19.6,10.9,12.3,11.7,12.7,12.6,282.9
ANTSIRANANA,-12.35,49.3,1984,516.4,270.9,173.2,161.1,23.2,17.4,21.4,8.0,6.3,9.4,93.6,131.3
ANTSIRANANA,-12.35,49.3,1985,446.7,488.4,64.0,45.7,11.3,20.4,30.4,16.9,6.6,9.8,19.1,123.0
ANTSIRANANA,-12.35,49.3,1986,507.5,155.4,214.6,35.5,11.5,7.9,11.7,11.0,5.3,19.4,36.7,371.7
ANTSIRANANA,-12.35,49.3,1987,353.6,342.2,153.4,142.3,15.8,11.4,16.1,13.9,6.6,13.7,53.9,41.1
ANTSIRANANA,-12.35,49.3,1988,397.7,328.1,204.7,61.4,10.3,17.7,18.6,10.0,0.8,11.3,24.6,168.3
ANTSIRANANA,-12.35,49.3,1989,746.9,309.2,121.0,55.5,17.3,25.7,14.2,18.7,7.1,13.1,14.1,313.7
ANTSIRANANA,-12.35,49.3,1990,199.9,302.9,51.5,138.9,15.1,9.8,12.9,14.1,6.5,13.4,26.9,112.4
ANTSIRANANA,-12.35,49.3,1991,314.1,352.3,332.0,205.7,9.9,15.4,21.7,12.3,11.2,19.3,27.2,498.9
ANTSIRANANA,-12.35,49.3,1992,236.2,361.7,157.4,146.3,46.3,9.6,9.3,10.5,7.1,11.0,47.7,77.9
ANTSIRANANA,-12.35,49.3,1993,199.6,325.3,116.6,69.1,8.7,12.6,20.8,23.9,6.7,8.8,21.1,38.5
ANTSIRANANA,-12.35,49.3,1994,325.9,301.7,361.6,41.0,17.7,17.7,11.8,31.7,9.7,37.0,12.4,213.0
ANTSIRANANA,-12.35,49.3,1995,468.5,312.6,105.4,113.5,31.4,8.4,18.6,27.0,2.8,12.4,18.2,124.3
ANTSIRANANA,-12.35,49.3,1996,340.6,173.2,133.5,81.2,11.8,10.7,12.0,11.6,4.2,20.1,13.2,140.7
ANTSIRANANA,-12.35,49.3,1997,325.9,450.2,40.5,53.7,18.4,19.7,24.5,11.8,0.0,9.2,32.5,100.9
ANTSIRANANA,-12.35,49.3,1998,276.3,271.9,137.4,113.1,8.3,9.1,20.9,8.0,10.0,8.2,9.2,142.4
ANTSIRANANA,-12.35,49.3,1999,223.5,111.2,187.3,41.7,7.3,15.0,18.9,20.3,7.2,9.1,29.6,141.5
ANTSIRANANA,-12.35,49.3,2000,159.1,278.3,197.9,51.1,7.6,19.8,25.7,13.3,15.8,22.4,17.6,93.7
ANTSIRANANA,-12.35,49.3,2001,186.5,214.5,166.5,29.8,9.5,15.5,10.5,24.9,2.0,15.4,11.6,74.0
ANTSIRANANA,-12.35,49.3,2002,276.8,225.0,218.5,39.1,48.4,36.0,19.4,15.8,10.1,9.7,91.6,171.9
ANTSIRANANA,-12.35,49.3,2003,226.5,439.3,289.8,87.8,11.1,11.6,24.0,8.5,7.6,10.3,12.0,303.5
ANTSIRANANA,-12.35,49.3,2004,667.3,135.1,198.4,71.3,9.7,31.3,37.7,14.8,7.9,13.0,15.1,190.4
ANTSIRANANA,-12.35,49.3,2005,286.8,173.9,130.2,78.3,12.1,18.4,23.3,14.3,9.5,9.1,13.7,170.2
ANTSIRANANA,-12.35,49.3,2006,311.9,310.9,208.5,49.5,11.4,14.5,28.6,8.7,0.0,11.0,107.5,412.3
ANTSIRANANA,-12.35,49.3,2007,218.3,328.1,192.7,42.5,10.0,9.2,16.7,10.9,11.7,12.9,17.4,155.0
ANTSIRANANA,-12.35,49.3,2008,346.2,239.2,152.9,31.2,5.8,9.1,10.8,10.3,6.8,19.3,34.9,137.4
ANTSIRANANA,-12.35,49.3,2009,185.5,163.5,180.7,112.2,10.2,29.8,15.3,27.0,12.6,12.0,69.3,60.5
ANTSIRANANA,-12.35,49.3,2010,244.3,191.0,187.1,37.4,12.1,32.3,10.9,18.8,10.9,20.5,81.5,51.2
ANTSIRANANA,-12.35,49.3,2011,185.3,256.0,166.4,86.7,8.7,14.6,12.6,8.8,11.0,8.3,15.9,98.3
ANTSIRANANA,-12.35,49.3,2012,389.2,135.2,212.7,197.1,11.3,12.6,18.4,17.2,7.3,7.4,29.7,130.5
ANTSIRANANA,-12.35,49.3,2013,489.0,256.9,57.3,69.9,7.9,6.4,17.3,13.6,14.5,17.7,20.8,288.5
ANTSIRANANA,-12.35,49.3,2014,332.7,422.7,197.6,63.8,8.8,8.2,16.0,16.3,2.5,15.2,45.9,93.2
ANTSIRANANA,-12.35,49.3,2015,314.8,209.8,98.4,50.0,17.9,10.2,16.6,24.3,0.5,11.8,37.0,258.3
ANTSIRANANA,-12.35,49.3,2016,408.0,458.8,146.9,123.0,11.8,10.7,17.6,8.7,6.9,12.2,38.6,26.2
ANTSIRANANA,-12.35,49.3,2017,225.2,244.2,443.1,39.0,9.3,10.2,16.4,15.2,2.5,8.6,52.2,265.6
ANTSIRANANA,-12.35,49.3,2018,370.8,298.5,508.9,70.9,10.2,8.4,11.5,12.7,5.8,9.3,47.4,136.0
ANTSIRANANA,-12.35,49.3,2019,547.3,370.3,109.6,144.3,13.6,10.3,10.0,14.8,0.8,8.8,100.5,440.6
ANTSIRANANA,-12.35,49.3,2020,322.5,243.9,194.4,69.8,18.4,36.7,37.5,15.7,2.3,14.2,35.5,118.4
ANTSIRANANA,-12.35,49.3,2021,319.3,416.8,174.7,152.3,22.7,8.9,23.8,12.7,6.1,12.7,18.8,43.0
ANTSIRANANA,-12.35,49.3,2022,383.7,281.1,246.5,156.0,7.3,7.7,23.9,12.7,12.5,8.5,12.7,121.1
ANTSIRANANA,-12.35,49.3,2023,170.7,239.4,117.2,127.0,16.3,9.9,14.1,0.0,-9999,-9999,-9999,-9999
ANALALAVA,-14.633,47.767,1981,156.7,348.5,326.2,73.9,27.9,0.4,0.4,0.6,9.4,62.5,63.4,318.0
ANALALAVA,-14.633,47.767,1982,256.6,401.5,159.2,65.8,13.6,4.0,0.0,0.0,12.5,67.9,93.0,386.1
ANALALAVA,-14.633,47.767,1983,371.1,325.3,157.3,43.6,14.5,4.6,1.0,0.0,14.1,55.6,95.5,498.6
ANALALAVA,-14.633,47.767,1984,599.5,429.7,263.3,270.7,12.2,0.0,0.0,4.5,12.9,36.3,128.3,310.6
ANALALAVA,-14.633,47.767,1985,394.1,625.5,213.7,75.2,30.3,7.4,1.1,0.0,13.4,29.2,179.9,242.0
ANALALAVA,-14.633,47.767,1986,473.4,267.1,114.6,109.5,34.0,0.0,1.0,0.0,14.1,125.6,83.5,428.8
ANALALAVA,-14.633,47.767,1987,412.3,578.5,156.1,132.8,14.9,1.5,0.7,0.0,13.0,30.1,75.2,206.9
ANALALAVA,-14.633,47.767,1988,539.9,337.9,110.3,65.4,10.4,2.5,0.4,0.0,14.0,41.2,43.2,361.1
ANALALAVA,-14.633,47.767,1989,536.0,326.6,192.1,84.3,19.6,5.8,0.4,0.0,15.1,31.0,91.6,228.3
ANALALAVA,-14.633,47.767,1990,437.3,372.8,73.6,308.2,32.1,4.4,1.0,0.0,14.1,24.2,100.3,213.5
ANALALAVA,-14.633,47.767,1991,370.6,372.9,348.9,312.9,15.2,4.6,0.3,0.0,14.1,31.1,164.1,328.0
ANALALAVA,-14.633,47.767,1992,509.7,458.8,171.0,59.7,21.5,4.3,0.6,0.0,14.1,36.9,154.7,158.1
ANALALAVA,-14.633,47.767,1993,381.1,562.7,276.9,67.2,10.1,4.3,0.0,2.3,14.1,17.0,95.9,181.3
ANALALAVA,-14.633,47.767,1994,496.6,336.2,338.6,24.2,18.5,2.4,1.0,0.4,14.3,26.3,59.1,227.5
ANALALAVA,-14.633,47.767,1995,629.6,385.4,126.8,149.6,19.2,4.0,1.0,0.0,14.1,22.4,92.4,355.4
ANALALAVA,-14.633,47.767,1996,499.9,369.3,247.8,79.4,12.7,4.3,1.0,0.0,14.1,24.6,65.9,313.1
ANALALAVA,-14.633,47.767,1997,514.7,359.6,132.6,131.2,12.9,3.0,1.0,0.0,14.1,49.9,95.8,187.1
ANALALAVA,-14.633,47.767,1998,416.2,470.7,100.2,108.0,8.8,0.0,1.0,0.0,14.1,17.5,41.2,264.8
ANALALAVA,-14.633,47.767,1999,387.2,285.1,224.3,79.7,28.1,1.0,1.0,0.0,14.1,20.7,94.9,216.8
ANALALAVA,-14.633,47.767,2000,323.1,296.5,133.8,56.0,12.3,4.6,1.0,0.0,14.1,30.7,110.0,303.3
ANALALAVA,-14.633,47.767,2001,414.6,355.0,231.6,47.3,12.5,4.3,1.0,0.0,14.1,71.7,57.7,182.0
ANALALAVA,-14.633,47.767,2002,314.9,373.6,236.0,27.8,66.8,2.3,0.0,0.0,17.0,19.8,90.1,305.9
ANALALAVA,-14.633,47.767,2003,581.2,372.5,323.2,108.8,15.9,0.4,3.5,0.0,10.9,47.4,87.1,412.9
ANALALAVA,-14.633,47.767,2004,692.8,207.1,232.6,91.6,10.7,1.5,0.0,0.0,14.1,65.1,117.9,302.9
ANALALAVA,-14.633,47.767,2005,415.9,269.7,237.7,77.2,17.3,1.7,1.4,0.0,13.1,13.3,90.6,527.3
ANALALAVA,-14.633,47.767,2006,346.0,454.7,209.3,110.7,17.0,7.0,0.0,0.0,14.0,18.3,190.0,360.7
ANALALAVA,-14.633,47.767,2007,329.6,426.6,188.7,39.2,10.6,0.2,0.0,0.0,14.1,29.5,160.6,208.2
ANALALAVA,-14.633,47.767,2008,455.0,461.4,170.6,31.7,14.0,0.6,0.0,0.0,14.0,37.0,145.5,254.0
ANALALAVA,-14.633,47.767,2009,299.7,341.5,255.1,111.5,10.1,0.2,1.0,0.0,11.4,24.8,104.3,219.5
ANALALAVA,-14.633,47.767,2010,492.2,219.9,264.0,49.3,12.4,0.2,0.0,0.0,10.9,23.2,145.8,276.2
ANALALAVA,-14.633,47.767,2011,519.6,494.0,331.7,96.0,14.9,4.4,0.0,0.0,11.0,22.5,100.4,270.4
ANALALAVA,-14.633,47.767,2012,521.7,282.5,139.3,267.5,16.9,5.0,0.2,0.0,8.8,78.7,98.7,269.0
ANALALAVA,-14.633,47.767,2013,540.5,278.7,124.6,74.5,12.5,0.2,4.4,2.4,13.2,36.7,88.2,404.0
ANALALAVA,-14.633,47.767,2014,465.3,367.7,187.7,29.6,10.1,0.4,8.2,2.5,8.3,16.1,124.3,293.7
ANALALAVA,-14.633,47.767,2015,575.5,356.8,169.6,49.2,14.2,4.4,4.1,3.0,8.3,47.7,73.2,349.3
ANALALAVA,-14.633,47.767,2016,468.3,591.3,153.4,30.6,16.2,1.7,9.0,2.6,13.5,56.9,103.2,153.6
ANALALAVA,-14.633,47.767,2017,312.2,363.5,570.3,109.4,13.9,5.6,6.9,2.6,8.7,45.0,122.1,427.8
ANALALAVA,-14.633,47.767,2018,875.2,343.1,536.6,108.6,11.7,1.0,4.1,2.5,8.4,18.1,93.6,441.9
ANALALAVA,-14.633,47.767,2019,728.1,368.3,222.5,258.0,50.2,4.6,4.0,2.4,10.6,26.5,204.8,519.7
ANALALAVA,-14.633,47.767,2020,444.4,343.6,151.1,35.7,24.0,4.1,6.9,2.4,13.5,116.7,103.1,290.6
ANALALAVA,-14.633,47.767,2021,442.5,380.5,254.1,230.8,47.2,4.6,4.1,11.6,8.4,14.1,144.8,251.2
ANALALAVA,-14.633,47.767,2022,419.8,300.4,258.8,112.9,11.8,0.6,4.1,2.4,13.5,45.3,76.1,284.4
ANALALAVA,-14.633,47.767,2023,530.9,340.7,173.6,122.2,17.7,0.6,4.1,0.0,-9999,-9999,-9999,-9999
ANTANANARIVO/IVATO,-18.8,47.483,1981,200.5,209.6,244.3,39.0,37.5,0.0,0.0,3.6,0.6,195.0,132.5,205.0
ANTANANARIVO/IVATO,-18.8,47.483,1982,593.4,365.7,302.4,62.5,8.8,0.0,0.7,0.0,4.2,69.1,132.3,218.8
ANTANANARIVO/IVATO,-18.8,47.483,1983,284.3,310.2,192.0,39.3,9.4,0.2,1.0,0.0,0.0,36.7,188.8,581.9
ANTANANARIVO/IVATO,-18.8,47.483,1984,409.9,371.6,227.8,101.6,9.6,0.2,1.0,10.2,4.5,79.7,246.6,219.9
ANTANANARIVO/IVATO,-18.8,47.483,1985,297.6,378.7,372.2,66.2,10.0,1.3,1.0,3.8,6.2,58.4,123.5,334.1
ANTANANARIVO/IVATO,-18.8,47.483,1986,252.3,293.4,169.6,36.1,20.5,0.0,11.9,3.9,0.0,214.0,130.0,292.5
ANTANANARIVO/IVATO,-18.8,47.483,1987,353.8,285.5,240.4,34.2,7.4,0.0,4.4,0.9,2.0,53.7,146.5,100.3
ANTANANARIVO/IVATO,-18.8,47.483,1988,371.7,274.9,117.3,37.9,13.7,0.0,7.4,0.0,0.0,62.5,110.9,249.4
ANTANANARIVO/IVATO,-18.8,47.483,1989,301.8,273.5,210.0,17.2,18.0,1.1,2.2,1.4,0.2,29.4,162.6,371.3
ANTANANARIVO/IVATO,-18.8,47.483,1990,315.6,200.9,108.7,50.5,9.1,0.0,5.8,0.0,0.0,78.8,123.8,187.1
ANTANANARIVO/IVATO,-18.8,47.483,1991,159.2,266.1,316.6,89.7,12.9,8.2,5.9,0.0,0.0,52.3,176.3,170.3
ANTANANARIVO/IVATO,-18.8,47.483,1992,554.9,277.2,187.6,30.8,8.1,6.0,0.7,5.8,0.0,33.1,179.4,130.6
ANTANANARIVO/IVATO,-18.8,47.483,1993,208.7,296.1,202.5,49.3,11.3,5.4,5.6,0.0,0.0,52.6,110.8,277.5
ANTANANARIVO/IVATO,-18.8,47.483,1994,456.8,243.7,274.3,58.9,16.6,3.0,0.7,3.6,0.0,87.4,46.9,219.5
ANTANANARIVO/IVATO,-18.8,47.483,1995,389.8,427.3,111.5,42.8,12.7,0.0,1.0,0.0,0.0,16.2,80.6,311.9
ANTANANARIVO/IVATO,-18.8,47.483,1996,382.3,292.1,138.8,10.6,8.1,0.0,1.0,2.5,0.0,16.1,33.0,324.2
ANTANANARIVO/IVATO,-18.8,47.483,1997,418.9,423.6,125.6,42.8,20.4,0.0,7.9,0.9,9.1,86.7,123.8,369.3
ANTANANARIVO/IVATO,-18.8,47.483,1998,347.3,433.4,203.3,29.1,11.6,0.0,1.9,3.9,3.9,51.8,77.8,510.2
ANTANANARIVO/IVATO,-18.8,47.483,1999,331.0,135.1,155.3,14.0,14.4,0.0,4.6,3.9,0.0,48.0,123.1,189.7
ANTANANARIVO/IVATO,-18.8,47.483,2000,266.9,223.8,168.3,17.1,6.8,0.0,7.2,0.0,0.0,98.6,257.8,290.6
ANTANANARIVO/IVATO,-18.8,47.483,2001,521.8,191.8,125.0,30.7,7.3,0.0,0.7,0.8,0.0,37.8,132.6,297.4
ANTANANARIVO/IVATO,-18.8,47.483,2002,214.3,347.0,201.6,35.6,24.6,0.0,1.0,0.0,6.4,45.0,185.4,289.6
ANTANANARIVO/IVATO,-18.8,47.483,2003,533.0,141.6,277.7,22.2,16.3,0.0,1.1,0.0,16.4,30.4,145.4,182.6
ANTANANARIVO/IVATO,-18.8,47.483,2004,371.3,229.8,176.5,23.8,14.8,0.0,0.7,0.0,0.5,71.2,153.0,385.5
ANTANANARIVO/IVATO,-18.8,47.483,2005,266.2,268.3,246.2,31.2,21.1,0.0,12.0,0.0,0.4,17.7,189.1,432.6
ANTANANARIVO/IVATO,-18.8,47.483,2006,257.3,183.5,177.6,46.0,16.8,1.3,10.6,0.0,0.0,49.2,200.5,282.4
