      JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
1950 -0.10 -0.38 -0.34 -0.21 -0.11 -0.22 -0.03  0.03 -0.16 -0.29 -0.19  0.02
1951  0.03  0.37  0.36 -0.31  0.02 -0.04  0.06  0.12  0.38  0.06  0.20  0.19
1952  0.32  0.48  0.31  0.35  0.11  0.06  0.03 -0.03 -0.13 -0.50 -0.09  0.08
1953  0.28  0.26  0.39 -0.01  0.47  0.25  0.14  0.13  0.22 -0.05  0.06  0.09
1954 -0.27 -0.02 -0.12  0.27  0.12 -0.12 -0.24 -0.14 -0.36 -0.68 -0.16 -0.06
1955 -0.17 -0.11 -0.02 -0.01 -0.51 -0.44 -0.24  0.00 -0.54 -0.79 -0.28 -0.10
1956  0.11  0.18 -0.14 -0.25 -0.60 -0.47 -0.51 -0.08 -0.21 -0.50 -0.30 -0.06
1957 -0.15 -0.10 -0.03 -0.16 -0.05 -0.31 -0.41 -0.13  0.04 -0.04 -0.47 -0.22
1958  0.01  0.02 -0.10 -0.16 -0.18 -0.39 -0.58 -0.48 -0.59 -0.43 -0.12  0.04
1959  0.51  0.12 -0.08  0.03 -0.36 -0.42 -0.19  0.01 -0.01 -0.37 -0.36 -0.34
1960 -0.13  0.17 -0.06 -0.43 -0.66 -0.32 -0.28 -0.44 -0.40 -0.71 -0.74 -0.54
1961 -0.19  0.01  0.15 -0.12 -0.36  0.09  0.71  0.95  0.97  0.97  0.40  0.22
1962  0.46  0.58  0.22  0.14 -0.22 -0.29 -0.20  0.02  0.06 -0.16 -0.14 -0.02
1963  0.30  0.33  0.16  0.03 -0.46 -0.08  0.37  0.66  0.47  0.79  0.39  0.08
1964 -0.17 -0.48 -0.03 -0.04 -0.39 -0.19 -0.41 -0.30 -0.65 -0.68 -0.15  0.01
1965  0.15 -0.02  0.29  0.00 -0.23 -0.29 -0.22  0.16 -0.04  0.09 -0.10 -0.26
1966  0.02  0.00 -0.15 -0.12 -0.37  0.17  0.22  0.48  0.21 -0.35 -0.43 -0.14
1967 -0.30 -0.11  0.28  0.02  0.16  0.34  0.58  0.60  0.75  0.62  0.32  0.19
1968  0.32  0.49  0.01  0.11  0.11  0.24  0.13  0.06 -0.29 -0.07 -0.20 -0.05
1969 -0.15 -0.25 -0.08  0.19  0.00 -0.28 -0.21 -0.25 -0.02  0.27  0.22  0.14
1970  0.38  0.32  0.10  0.37  0.25 -0.25 -0.01 -0.01 -0.22 -0.37 -0.12  0.01
1971  0.14  0.12  0.29  0.34 -0.02 -0.02  0.03 -0.34 -0.24 -0.47  0.03  0.29
1972  0.36 -0.06  0.18  0.16  0.28  0.80  0.78  0.86  1.03  0.72  0.79  0.38
1973  0.34  0.05  0.05 -0.10  0.14 -0.03 -0.16 -0.30 -0.34 -0.26 -0.13 -0.05
1974  0.24  0.37  0.40  0.00 -0.09  0.28  0.15 -0.22 -0.42 -0.58 -0.13 -0.20
1975 -0.33 -0.05 -0.44 -0.16 -0.12  0.22  0.28 -0.18 -0.66 -0.90 -0.44 -0.06
1976  0.13  0.26  0.19 -0.01  0.08  0.50  0.78  0.27  0.15 -0.06 -0.16  0.16
1977  0.09 -0.01  0.30 -0.11 -0.32  0.04  0.30  0.19  0.15  0.53  0.17 -0.05
1978 -0.46 -0.27 -0.35 -0.12 -0.33  0.17  0.42  0.07  0.21 -0.09 -0.25 -0.28
1979  0.23 -0.15 -0.11 -0.06  0.06  0.39  0.18  0.05 -0.11 -0.56 -0.56  0.00
1980 -0.10 -0.10 -0.28  0.22  0.23 -0.26 -0.20 -0.19 -0.34 -0.17 -0.25 -0.18
1981 -0.01  0.05 -0.17  0.26  0.13 -0.13 -0.16 -0.24 -0.44 -0.31 -0.24 -0.21
1982  0.20  0.19  0.19  0.20  0.34  0.45  0.61  0.59  0.62  0.91  0.46 -0.14
1983 -0.22 -0.44 -0.78 -0.64 -0.09  0.51  0.79  0.55  0.18  0.06 -0.06 -0.06
1984 -0.10 -0.06  0.02  0.16 -0.42 -0.31 -0.21 -0.37 -0.36 -0.51 -0.53 -0.24
1985 -0.35 -0.54 -0.33 -0.23 -0.19 -0.67 -0.46 -0.35 -0.18 -0.21 -0.21 -0.41
1986 -0.15  0.13  0.23  0.05  0.21  0.06 -0.22 -0.06 -0.01  0.24  0.05 -0.44
1987 -0.21 -0.27 -0.46 -0.41  0.11 -0.17  0.01  0.38  0.34  0.29 -0.04  0.06
1988  0.44  0.18 -0.03  0.10 -0.50 -0.23  0.05  0.09 -0.27 -0.45 -0.25  0.06
1989 -0.45 -0.18 -0.33 -0.21 -0.43 -0.58 -0.05 -0.43 -0.38 -0.52 -0.47 -0.26
1990  0.35  0.03 -0.05 -0.11 -0.32 -0.24 -0.09 -0.37 -0.43 -0.52 -0.43 -0.17
1991  0.10  0.14  0.08  0.59  0.54  0.03 -0.03 -0.04  0.29  0.08 -0.01  0.02
1992 -0.54 -0.57 -0.70 -0.58 -0.42 -0.58 -0.41 -0.42 -0.68 -0.57 -0.04  0.13
1993  0.09  0.17 -0.17 -0.06  0.28  0.25 -0.01 -0.30 -0.34 -0.25 -0.25 -0.09
1994  0.12 -0.32  0.15  0.34  0.40  0.34  0.83  1.13  1.05  1.15 -0.06 -0.11
1995  0.05  0.55  0.26 -0.13 -0.42 -0.17 -0.55 -0.70 -0.39 -0.36 -0.50  0.06
1996  0.38  0.23 -0.23 -0.38 -0.31 -0.49 -0.51 -0.74 -0.65 -0.99 -0.85 -0.33
1997  0.08  0.28  0.20  0.06  0.00  0.30  0.67  0.61  0.95  1.25  1.26  0.93
1998  0.63  0.36 -0.03 -0.07  0.05 -0.05 -0.60 -0.62 -0.51 -0.76 -0.53 -0.28
1999 -0.28 -0.01  0.07 -0.10 -0.50 -0.29  0.16  0.04 -0.07 -0.55 -0.50 -0.01
2000  0.02  0.43  0.45  0.14 -0.02 -0.13  0.18  0.24  0.03 -0.21 -0.11  0.06
2001  0.27  0.47  0.34  0.05 -0.12 -0.17 -0.39 -0.33 -0.37 -0.55 -0.08 -0.13
2002 -0.17 -0.03 -0.23 -0.30 -0.43 -0.32 -0.39 -0.36  0.41  0.23 -0.17 -0.43
2003 -0.45  0.05  0.10  0.03  0.19  0.38  0.39  0.30 -0.01 -0.33 -0.24  0.02
2004 -0.24 -0.13  0.03 -0.15 -0.53 -0.53 -0.30 -0.12  0.15  0.04 -0.24 -0.27
2005 -0.33 -0.87 -0.87 -0.17  0.00 -0.24 -0.51 -0.43 -0.70 -0.59 -0.39 -0.32
