ID,Lat,Lon,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ANTSIRANANA,-12.35,49.3,1986,517.9,163.0,213.5,28.0,11.8,8.6,10.8,11.6,5.6,19.7,36.1,380.2
ANTSIRANANA,-12.35,49.3,1987,382.7,355.2,156.7,116.7,18.1,12.5,14.4,14.4,6.3,13.8,52.5,41.5
ANTSIRANANA,-12.35,49.3,1988,398.8,327.3,210.3,46.6,10.9,20.1,17.0,10.6,0.0,11.6,26.4,163.4
ANTSIRANANA,-12.35,49.3,1989,749.6,313.8,112.0,47.7,18.1,28.5,12.5,19.7,6.7,13.5,13.8,289.7
ANTSIRANANA,-12.35,49.3,1990,223.3,337.4,37.5,110.5,15.8,10.9,11.6,14.7,6.2,13.8,26.8,112.4
ANTSIRANANA,-12.35,49.3,1991,309.0,380.3,285.9,152.4,9.3,17.1,19.0,12.4,10.4,19.9,45.5,450.0
ANTSIRANANA,-12.35,49.3,1992,244.8,356.7,156.1,115.4,45.6,10.1,8.3,10.8,6.7,11.2,34.5,59.9
ANTSIRANANA,-12.35,49.3,1993,200.2,336.5,111.0,54.8,8.9,14.0,18.8,25.6,6.2,8.9,16.8,39.4
ANTSIRANANA,-12.35,49.3,1994,340.9,290.3,373.0,26.5,17.7,19.7,13.3,32.8,9.1,35.8,13.6,206.1
ANTSIRANANA,-12.35,49.3,1995,493.2,325.6,93.6,88.5,30.8,9.4,16.6,27.7,0.0,12.8,17.9,133.5
ANTSIRANANA,-12.35,49.3,1996,352.2,211.1,111.6,61.4,12.4,11.8,10.8,12.0,0.0,20.6,13.3,120.0
ANTSIRANANA,-12.35,49.3,1997,375.5,485.8,53.6,43.2,18.7,22.5,22.3,12.6,0.0,8.5,30.8,73.2
ANTSIRANANA,-12.35,49.3,1998,265.8,300.5,133.7,86.6,8.4,10.2,18.7,8.3,9.4,8.5,9.1,122.7
ANTSIRANANA,-12.35,49.3,1999,200.9,120.5,196.0,32.9,7.5,17.4,16.6,20.7,6.8,9.4,25.5,129.5
ANTSIRANANA,-12.35,49.3,2000,163.5,303.7,192.6,44.0,7.7,22.2,22.8,13.8,14.8,22.8,16.0,110.6
ANTSIRANANA,-12.35,49.3,2001,183.7,225.6,147.6,21.6,9.6,17.5,9.3,25.8,0.0,15.9,11.2,71.4
ANTSIRANANA,-12.35,49.3,2002,306.9,227.1,227.4,29.2,45.5,42.2,17.2,16.4,9.5,9.9,85.6,160.9
ANTSIRANANA,-12.35,49.3,2003,230.9,465.0,315.6,67.5,13.4,12.0,28.1,8.5,7.2,10.9,12.0,301.4
ANTSIRANANA,-12.35,49.3,2004,655.1,126.6,183.7,49.9,9.7,34.7,33.4,15.3,7.4,12.6,16.1,174.2
ANTSIRANANA,-12.35,49.3,2005,278.5,205.5,138.2,63.1,14.5,20.3,20.9,13.5,8.9,9.2,13.6,157.6
ANTSIRANANA,-12.35,49.3,2006,297.9,335.9,214.0,35.5,12.2,15.8,25.3,8.9,0.0,11.3,113.1,384.1
ANTSIRANANA,-12.35,49.3,2007,230.1,333.2,188.2,33.7,10.1,9.8,14.6,11.1,10.9,12.7,16.3,157.8
ANTSIRANANA,-12.35,49.3,2008,361.0,226.7,153.1,23.8,5.8,10.1,9.4,10.6,6.2,19.9,28.9,124.1
ANTSIRANANA,-12.35,49.3,2009,183.5,169.7,184.9,96.1,11.3,34.9,13.6,28.5,11.7,12.6,70.3,61.1
ANTSIRANANA,-12.35,49.3,2010,279.1,202.4,175.1,30.7,12.4,37.7,9.7,19.8,10.0,20.9,78.9,48.9
ANTSIRANANA,-12.35,49.3,2011,183.7,244.6,165.0,75.0,9.1,16.0,11.3,8.6,10.3,8.5,14.5,82.0
ANTSIRANANA,-12.35,49.3,2012,397.5,148.6,226.3,164.0,11.9,13.4,16.1,18.0,6.9,7.7,27.2,127.1
ANTSIRANANA,-12.35,49.3,2013,490.9,291.0,61.8,54.2,7.9,11.0,13.5,13.5,12.9,16.8,15.7,293.5
ANTSIRANANA,-12.35,49.3,2014,321.9,444.7,190.6,46.1,8.5,14.1,14.1,16.2,0.0,15.6,41.6,77.3
ANTSIRANANA,-12.35,49.3,2015,336.2,205.0,102.6,39.7,16.0,11.0,14.4,23.5,0.0,11.7,37.2,255.1
ANTSIRANANA,-12.35,49.3,2016,444.2,511.4,153.3,91.6,11.4,18.9,15.1,8.4,6.3,12.1,36.2,22.7
ANTSIRANANA,-12.35,49.3,2017,220.7,238.4,433.3,31.6,9.2,17.3,14.5,14.4,0.0,8.4,42.3,250.0
ANTSIRANANA,-12.35,49.3,2018,388.4,292.9,524.3,55.5,10.0,14.2,9.9,12.6,5.2,8.5,54.5,117.4
ANTSIRANANA,-12.35,49.3,2019,541.9,379.8,115.0,104.4,12.1,11.8,8.6,13.8,0.0,8.9,106.6,446.6
ANTSIRANANA,-12.35,49.3,2020,327.6,245.5,188.8,49.7,20.2,51.8,34.1,15.5,2.2,14.2,25.5,134.7
ANTSIRANANA,-12.35,49.3,2021,334.8,433.7,225.2,111.4,20.4,14.8,19.0,12.2,5.4,12.6,25.2,44.3
ANTSIRANANA,-12.35,49.3,2022,402.9,297.0,263.2,138.4,7.0,12.3,19.3,12.6,11.5,8.5,10.0,115.4
ANTSIRANANA,-12.35,49.3,2023,163.0,236.6,120.9,102.1,16.6,16.0,12.6,0.0,5.0,9.3,37.5,73.1
ANALALAVA,-14.633,47.767,1986,506.8,275.8,117.0,92.6,33.3,0.0,0.0,0.0,15.2,140.8,91.6,404.5
ANALALAVA,-14.633,47.767,1987,460.2,657.1,158.1,103.8,15.8,4.1,0.0,0.0,14.4,32.6,81.2,255.9
ANALALAVA,-14.633,47.767,1988,548.8,361.0,108.6,50.0,11.3,5.2,0.0,0.0,15.2,44.3,40.6,392.9
ANALALAVA,-14.633,47.767,1989,533.5,330.1,178.9,81.7,23.7,6.5,0.0,0.0,16.3,32.9,77.4,230.5
ANALALAVA,-14.633,47.767,1990,448.8,396.6,60.4,261.9,32.3,5.6,0.0,0.0,15.2,25.9,110.3,207.9
ANALALAVA,-14.633,47.767,1991,362.7,408.8,329.3,218.2,12.0,5.6,0.0,0.0,15.2,27.9,189.0,298.8
ANALALAVA,-14.633,47.767,1992,503.6,482.9,183.5,55.5,14.8,5.5,0.0,0.0,15.2,27.3,163.6,150.6
ANALALAVA,-14.633,47.767,1993,416.6,589.8,271.4,57.6,11.0,5.5,0.0,5.2,15.2,18.8,109.7,173.3
ANALALAVA,-14.633,47.767,1994,522.5,304.5,330.6,14.8,12.4,5.1,0.0,0.0,14.9,53.8,58.4,248.8
ANALALAVA,-14.633,47.767,1995,685.9,397.0,126.1,115.0,23.1,5.4,0.0,0.0,15.2,23.6,101.0,357.9
