,obs_value,fcst_cemcat,obs_clim,obs_relanom,obs_terc,fcst_terc,obs_cemcat,obs_quantanom,fcst_heidkehit,fcst_intrate,fcst_ignorance,fcst_rpss,fcst_cemhit
ADDO_ELEPHANT_PARK,102.6,3,99.01,4.0,2.0,2,3.0,0.567,1.0,21.2,1.32,0.18,3.0
ALEXANDER_BAY,7.7,3,18.67,-59.0,1.0,2,1.0,0.1,0.0,-24.2,2.0,-0.21,1.0
ALLDAYS,49.8,3,54.77,-9.0,2.0,2,3.0,0.5,1.0,21.2,1.32,0.18,3.0
AUGRABIES_FALLS,74.9,3,45.89,63.0,3.0,2,4.0,0.933,0.0,6.1,1.51,0.11,2.0
BEAUFORT_WEST,93.7,3,71.38,31.0,3.0,2,4.0,0.9,0.0,6.1,1.51,0.11,2.0
BEITBRIDGE,62.0,3,45.18,37.0,3.0,2,4.0,0.767,0.0,6.1,1.51,0.11,2.0
BINGA,91.3,3,111.23,-18.0,2.0,2,2.0,0.4,1.0,21.2,1.32,0.18,2.0
BINGA_2,91.3,3,111.23,-18.0,2.0,2,2.0,0.4,1.0,21.2,1.32,0.18,2.0
BLOEMHOF,188.6,3,128.42,47.0,3.0,2,4.0,0.9,0.0,6.1,1.51,0.11,2.0
BOLEPI_HOUSE,176.5,3,140.3,26.0,3.0,2,4.0,0.867,0.0,6.1,1.51,0.11,2.0
BRANDVLEI,54.4,3,36.76,48.0,3.0,2,4.0,0.933,0.0,6.1,1.51,0.11,2.0
BUFFALO_RANGE,136.8,3,95.7,43.0,3.0,2,4.0,0.833,0.0,6.1,1.51,0.11,2.0
BUHERA,105.7,3,96.78,9.0,2.0,2,3.0,0.633,1.0,21.2,1.32,0.18,3.0
BULAWAYO_(GOETZ_OBS,81.7,3,92.43,-12.0,2.0,2,2.0,0.5,1.0,21.2,1.32,0.18,2.0
BULAWAYO_AIRPORT,81.7,3,92.43,-12.0,2.0,2,2.0,0.5,1.0,21.2,1.32,0.18,2.0
CALVINIA,75.5,3,63.03,20.0,3.0,2,4.0,0.667,0.0,6.1,1.51,0.11,2.0
CAPE_COLUMBINE,49.6,3,60.74,-18.0,1.0,2,1.0,0.233,0.0,-24.2,2.0,-0.21,1.0
CAPE_ST._FRANCIS,148.7,3,142.62,4.0,3.0,2,4.0,0.667,0.0,6.1,1.51,0.11,2.0
CAPE_TOWN_-_PORTNET,144.9,3,139.54,4.0,2.0,2,3.0,0.633,1.0,21.2,1.32,0.18,3.0
CAPE_TOWN_INTNL._AIRPORT,124.5,3,126.05,-1.0,2.0,2,3.0,0.633,1.0,21.2,1.32,0.18,3.0
CHINHOYI,127.4,3,126.71,1.0,2.0,2,3.0,0.6,1.0,21.2,1.32,0.18,3.0
CHIPINGE,238.7,3,193.64,23.0,3.0,2,4.0,0.7,0.0,6.1,1.51,0.11,2.0
CHISENGU,361.0,3,255.1,42.0,3.0,2,4.0,0.767,0.0,6.1,1.51,0.11,2.0
CHIVHU,91.9,3,92.01,-0.0,2.0,2,2.0,0.5,1.0,21.2,1.32,0.18,2.0
CLANWILLIAM,52.9,3,52.11,2.0,2.0,2,3.0,0.533,1.0,21.2,1.32,0.18,3.0
CRADOCK,121.2,3,74.27,63.0,3.0,2,4.0,1.0,0.0,6.1,1.51,0.11,2.0
CT-AWS,124.5,3,126.05,-1.0,2.0,2,3.0,0.633,1.0,21.2,1.32,0.18,3.0
